Feature;Status;MeanImportance;RemovedDueTo;MaxCorr
diffAUC2_4;Kept;0.0388468029128636;;
diffAUC1_4;Kept;0.0322003751037279;;
FA1;Kept;0.0223038634680177;;
BNBn2;Kept;0.0221460592792653;;
D2;Kept;0.0204051515708935;;
BNBn4;Kept;0.0192511310253256;;
N2;Removed;0.0185033670055981;D2;0.9763
BBn4;Kept;0.0177592424149369;;
diffAUC3_4;Kept;0.0174212692033922;;
RRn4;Removed;0.0172160656581646;BBn4;0.9982
SSn4;Removed;0.0171751680379365;BBn4;0.9978
BNBn1;Kept;0.0169364960453792;;
BNB4;Removed;0.0167998038110069;BBn4;1.0
BB4;Kept;0.0162906867507543;;
SS4;Removed;0.0162713700063116;BB4;0.9981
CCn4;Removed;0.0160712193427247;BBn4;0.9986
A2;Kept;0.0153857179354505;;
FA4;Kept;0.0152889135852252;;
CCn1;Kept;0.0148902127172429;;
BBn1;Removed;0.0144419900522936;CCn1;0.9981
CC4;Removed;0.0142229840279964;BB4;0.9989
RRn1;Removed;0.0141398985807391;CCn1;0.9944
BNB1;Removed;0.0138677943672598;CCn1;0.9981
RR4;Removed;0.0137129867836524;BB4;0.9984
CC1;Kept;0.0132191939684111;;
SSn1;Removed;0.0131000116234392;CCn1;0.9924
H2;Removed;0.0128438873474788;A2;0.9963
LN1;Removed;0.0125957994273075;CCn1;0.9565
O1;Removed;0.0124781575044686;FA1;-0.9242
H1;Kept;0.0119010598548221;;
M4;Kept;0.0118172110657347;;
