N_features;MeanBA;StdBA
3;0.587121212121212;0.41488807722174065
4;0.5602272727272727;0.4086689392190957
5;0.618181818181818;0.3927180951976673
6;0.6382575757575757;0.3869163826850483
7;0.6299242424242424;0.3975076955206824
8;0.6242424242424242;0.39163369534744674
9;0.6189393939393939;0.3780363757330907
10;0.6196969696969697;0.37686024670476037
11;0.6530303030303031;0.3807931768377301
12;0.609469696969697;0.3801481258227835
13;0.6333333333333333;0.3815670771220105
14;0.6333333333333333;0.3805232973130288
15;0.634469696969697;0.38774467230370585
16;0.650378787878788;0.3839337957904277
