Feature;F_stat;p_value
diffAUC1_4;43.949748878638296;1.828828540553997e-23
diffAUC2_4;43.66893336522017;2.3240632924735004e-23
RRn4;41.26442549837249;1.8747951693856685e-22
SSn4;41.122684320610006;2.1246770962724474e-22
BNB4;41.06321656835168;2.2393459322183207e-22
BBn4;41.063216568351656;2.239345932218357e-22
CCn4;40.4226838224816;3.954993890134458e-22
diffAUC3_4;39.55519534459725;8.611264563036129e-22
BNBn4;38.04430571817376;3.4128975681356324e-21
BN4;37.96165768576795;3.682933479007043e-21
A2;32.716093984047454;5.56606473387899e-19
A1;32.23715259563146;8.97126814299653e-19
H3;31.32158742990034;2.2556433836671508e-18
H2;30.311251155019825;6.3323347133918845e-18
A3;30.175778156883965;7.281106706991095e-18
H1;29.73235879448156;1.152223882957769e-17
CCn3;29.59708454191248;1.326231510362892e-17
BBn3;29.206020814489598;1.9948885985234626e-17
BNB3;29.206020814489573;1.994888598523543e-17
RRn3;28.532881026303606;4.051606354345216e-17
CC3;28.4848189787532;4.2630554211843924e-17
SSn3;28.25615181635609;5.4333143696065464e-17
BB3;28.22212941394687;5.633401565384994e-17
RR3;27.680498828284524;1.0044734400336608e-16
BNBn1;27.648542999025786;1.0394992767548102e-16
SS3;27.371786174157116;1.3997764211853863e-16
BNBn3;27.368521931535266;1.4047088756058193e-16
F3;25.364716990594072;1.2606119520507654e-15
BNBn2;23.753314679580523;7.75942390789634e-15
E3;22.422185946773695;3.613937521155874e-14
M3;21.874918488865838;6.871931387586888e-14
LN3;21.39070805302275;1.219578629468559e-13
Q3;21.134923490033735;1.65445473521394e-13
LN4;21.110186872671925;1.7040980781552697e-13
L3;20.825089813291612;2.3981377468529647e-13
CCn1;20.261778618044627;4.733958896107725e-13
BBn1;20.09686913052502;5.784159636715783e-13
BNB1;20.096869130525018;5.784159636715852e-13
RRn1;19.672776527839243;9.709072487711087e-13
Rm3;19.43620078616318;1.298344375290995e-12
SSn1;19.345015509203435;1.4527073145013027e-12
SSn2;18.785230932616077;2.906873606536214e-12
RRn2;18.725047529649498;3.1332359964691555e-12
Sm3;17.93859642868238;8.410259063921197e-12
BNB2;17.82351015931082;9.729070034373454e-12
BBn2;17.82351015931082;9.729070034373454e-12
CCn2;17.23055726094989;2.070665273844444e-11
I3;17.20035869080754;2.152342190548705e-11
A4;16.41115100885403;5.960718977057335e-11
LN1;15.930445526625656;1.1166344240191043e-10
C4;14.465333706679234;7.832622425484691e-10
H4;13.762815907160036;2.0315628934576268e-09
B4;13.612787759420362;2.4942223192827183e-09
FA3;12.901884386535212;6.646410606922642e-09
O3;12.468151029051636;1.2164492072600463e-08
LN2;12.213832241361903;1.737857291420053e-08
R4;11.344771249100795;5.957135580251692e-08
G4;9.903160142503378;4.807879557684962e-07
F4;9.221546216752555;1.3159303600688756e-06
CC1;8.353782608226206;4.82779240577398e-06
Q4;8.20719389261542;6.025091326176943e-06
BB1;8.183653377206948;6.243633519160476e-06
RR1;7.974302479738118;8.576771054578518e-06
SS1;7.857983789812221;1.0236417868018914e-05
FA4;7.788814167294108;1.1373742091032553e-05
E4;7.653352054929985;1.3985054632745001e-05
Sm4;6.541342497265774;7.760985699652985e-05
O4;6.453165469427752;8.901672206567852e-05
Rm4;6.252651606380509;0.00012166744155338148
D2;4.577174924669962;0.0017047972821304476
N2;4.185257132402523;0.003177161963662025
L4;4.083067503922282;0.0037374821556753427
CC2;3.789773485943813;0.005956902898788417
BB4;3.5963962771861384;0.008098426583997934
CC4;3.5461992014072514;0.00877000923789757
RR4;3.4390989683468574;0.01039387029938207
SS4;3.394406911830787;0.011156896605068049
M4;3.2868466378899748;0.013229064625410831
FA1;2.9173369902076023;0.023704343131475746
O1;2.169723116284724;0.07579832362944044
FA2;1.8948796615994337;0.11499996716737672
G2;1.7228827134870814;0.14860853968646273
P1;1.7096865046274567;0.1515348726695271
O2;0.9174824421019909;0.45584222625359183
RH_med;0.15171563855885456;0.9619442032059698
